package,start time,end time,commitNum,jest,jasmine,mocha,karma,test command
generator-gulp-angular,1659476356,1659476364,58e5a66,0,0,1,0,istanbul cover _mocha -- test/node test/template && mocha test/inception/test-inception.js -ig protractor --no-insight
pourover,1659476365,1659476367,262bd99,0,0,0,0,istanbul cover _mocha -- test/node test/template && mocha test/inception/test-inception.js -ig protractor --no-insight
vue-validator,1659476367,1659476379,a88304a,0,1,1,1,npm run lint && npm run flow && npm run test:cover
ng-annotate,1659476380,1659476383,f5c709c,0,0,0,0,node --harmony run-tests
scrollability,1659476384,1659476385,fed4b02,0,0,0,0,node --harmony run-tests
react-tween-state,1659476385,1659476387,08f526e,0,0,0,0,echo \
fluxxor,1659476387,1659476394,d11e52a,0,0,1,0,npm run jshint && mocha --recursive
ice,1659476395,1659476399,1db2999,0,0,0,0,npm run jshint && mocha --recursive
angular-hotkeys,1659476399,1659476402,0725137,0,1,0,1,node_modules/karma/bin/karma start test/karma.conf.js
htmlbars,1659476402,1659476408,3840d5d,0,0,0,0,bin/run-tests.js
scripted,1659476409,1659476421,cd690ee,0,0,0,0,node tests/server/run-all.js
MProgress.js,1659476422,1659476431,d4649a2,0,0,0,0,node tests/server/run-all.js
fireshell,1659476431,1659476433,84ce786,0,0,0,0,node tests/server/run-all.js
meteor-ionic,1659476433,1659476436,93a2d4e,0,0,0,0,node tests/server/run-all.js
antimoderate,1659476436,1659476439,e19bfd0,0,0,0,0,node tests/server/run-all.js
ui-calendar,1659476439,1659476443,ac7a76c,0,1,0,1,grunt
ui-utils,1659476443,1659476449,0debc18,0,0,0,0,grunt
atvImg,1659476450,1659476452,9271424,0,0,0,0,echo \
jquip,1659476453,1659476460,fc70e4d,0,0,0,0,echo \
rapscallion,1659476461,1659476464,294a338,0,0,1,0,mocha spec/exec.js
volo,1659476464,1659476468,034cc15,0,0,0,0,mocha spec/exec.js
reflexbox,1659476469,1659476471,76c8f1b,0,0,0,0,ava
The-cost-of-transpiling-es2015-in-2016,1659476471,1659476474,0e28e6f,0,0,0,0,ava
redux-pack,1659476475,1659476476,7818ffd,0,0,0,0,npm run lint
react-springy-parallax,1659476476,1659476478,096e4b1,0,0,0,0,npm run lint
disc,1659476478,1659476480,7522b58,0,0,0,0,node test | tap-spec
TremulaJS,1659476480,1659476483,2c7c00f,0,0,1,0,node test | tap-spec
background-size-polyfill,1659476483,1659476485,a4225f8,0,0,0,0,node test | tap-spec
