package,numFlakyTests,numODFlakyTests,numNODFlakyTests,numFailedTestSuites,numFailedTests,numPassedTestSuites,numPassedTests,numPendingTestSuites,numPendingTests,numRuntimeErrorTestSuites,numTotalTestSuites,numTotalTests
ice-scripts,0,0,0,0,0,4,15,0,0,0,4,15
ast-to-literal,0,0,0,0,0,1,1,0,0,0,1,1
@jorsek/ezd-client,0,0,0,0,0,1,1,0,0,0,1,1
serverless-jest-plugin,1,1,0,4,4,2,26,1,2,0,7,32
lastejobb,0,0,0,3,2,4,16,0,0,1,7,18
styled-system-html,0,0,0,0,0,1,132,0,0,0,1,132
@techcityventures/error-handler,0,0,0,0,0,1,1,0,0,0,1,1
ghetto-monad,0,0,0,0,0,3,7,0,0,0,3,7
@serverless-stack/resources,1,1,0,0,0,21,649,0,0,0,21,649
nova-react-bridge,0,0,0,0,0,1,3,0,0,0,1,3
ampsalesfunnels-mailgen,0,0,0,0,0,1,4,0,0,0,1,4
ijest,0,0,0,0,0,1,16,0,0,0,1,16
storage-manager-js,0,0,0,0,0,2,6,0,0,0,2,6
@portable-profiles/auth,0,0,0,1,0,1,4,0,0,1,2,4
@techcityventures/extract,0,0,0,0,0,1,2,0,0,0,1,2
markdown-it-alert,0,0,0,0,0,3,9,0,0,0,3,9
words-to-num,0,0,0,0,0,1,10,0,0,0,1,10
@plugnet/binary-encoding-utilities,0,0,0,0,0,5,17,0,0,0,5,17
validate-email-password,0,0,0,0,0,2,2,0,0,0,2,2
morsing-http,0,0,0,0,0,1,6,0,0,0,1,6
@admin-tool-generator/ui,0,0,0,0,0,1,1,0,0,0,1,1
ts-component-library,0,0,0,0,0,1,1,0,0,0,1,1
trebuchet-bootstrap,0,0,0,1,0,0,0,0,0,1,1,0
react-mosaic-utils,0,0,0,0,0,5,38,0,0,0,5,38
https-provider,0,0,0,0,0,1,1,0,0,0,1,1
gio_lim015-md-links,0,0,0,1,10,0,7,0,0,0,1,17
picompiler,0,0,0,0,0,2,10,0,0,0,2,10
almondtree,0,0,0,0,0,4,14,0,0,0,4,14
homo-digitalis-curricula-service,0,0,0,0,0,1,2,0,0,0,1,2
@digitalronin/browser-or-node,0,0,0,0,0,1,6,0,0,0,1,6
