Name,Language,Test Script
react-scripts,Typescript,
react-scripts-ts,JavaScript,
tsdx,JavaScript,
@umijs/test,Typescript,
@vue/cli-plugin-unit-jest,JavaScript,
umi-test,JavaScript,
razzle,JavaScript,
sanji-common-devs-ui,JavaScript,
@bingsjs/op-tools,Typescript,jest --coverage
markup-it,JavaScript,jest
@microsoft/gulp-core-build,Typescript,jest
conflux-web,Typescript,jest
@chantey/core,Typescript,jest
@alib/build-scripts,JavaScript,jest
help-my-strings,JavaScript,yarn jest
jest-cucumber,Typescript,npm run build & npm run lint & jest --color
backpack-react-scripts,Typescript,npm run build & npm run lint & jest --color
@wordpress/scripts,JavaScript,npm run build & npm run lint & jest --color
@react-workspaces/react-scripts,Typescript,npm run build & npm run lint & jest --color
storybook-chromatic,JavaScript,jest
foo,JavaScript,jest
jest-expo,JavaScript,jest
enqueuer,Typescript,jest
@glennsl/bs-jest,JavaScript,npm run build && jest
@shopify/slate-sync,JavaScript,npm run build && jest
depot-test,JavaScript,npm run build && jest
@wingsuit-designsystem/core,Typescript,npm run build && jest
lwc-services,Typescript,npm run build && jest
css-modules,JavaScript,npm run build && jest
flex-plugin-scripts,Typescript,cd ../.. && jest packages/flex-plugin-scripts --color
@aica/js-db,JavaScript,jest --verbose --bail --runInBand  --detectOpenHandles
@ampersandhq/magepack-sdk,JavaScript,jest --verbose --bail --runInBand  --detectOpenHandles
@airbnb/config-jest,JavaScript,jest --verbose --bail --runInBand  --detectOpenHandles
@ulangi/wiktionary-core,Typescript,npx jest
ice-scripts,JavaScript,LOG_LEVEL=verbose jest test/**/*.test.js
akiya-react-component-scripts,JavaScript,LOG_LEVEL=verbose jest test/**/*.test.js
@midwest-design/common,Typescript,LOG_LEVEL=verbose jest test/**/*.test.js
@wywk/wywk-develop-kit,Typescript,LOG_LEVEL=verbose jest test/**/*.test.js
rc-tools,JavaScript,LOG_LEVEL=verbose jest test/**/*.test.js
@seolhun/localize-components-utils,Typescript,jest
@codification/cutwater-build-core,Typescript,jest
@alicloud/console-toolkit-plugin-unit-jest,JavaScript,jest
ast-to-literal,JavaScript,jest
zem,JavaScript,jest
lzb-tooltip,JavaScript,jest src/index.test.js
rax-scripts,JavaScript,jest src/index.test.js
custom-react-scripts,JavaScript,jest src/index.test.js
@jorsek/ezd-client,Typescript,jest
@liquidapps/dapp-client,Typescript,jest --coverage
ws-react-modal-dialog,Typescript,jest --coverage
yoshi-flow-legacy,JavaScript,jest --coverage
karaui,JavaScript,jest --coverage
@hyext/compile,JavaScript,jest
@suprcrew/project-config,JavaScript,jest
@bconnorwhite/package,JavaScript,jest
dragact,JavaScript,jest --watch --no-cache
mocoolka-algebraic,Typescript,jest
bin-utils,JavaScript,jest
react-scripts-component,Typescript,jest
pri,Typescript,jest
@teambit/angular,JavaScript,jest
@blast-engine/utils,JavaScript,jest
nlp-trainer,JavaScript,jest
@chantey/dom,Typescript,jest
we-assert,Typescript,yarn ts && yarn ts-tests &&  yarn jest ./src/we-assert.test.js
@zohodesk/react-cli,JavaScript,jest
@sewing-kit/plugin-jest,Typescript,jest
@djforth/jest-matchers-core,JavaScript,jest
configuration-reader,JavaScript,jest
@openteamsinc/ssr-form-gen,JavaScript,jest
@kdh/client,Typescript,jest
hlp,JavaScript,npm-run-all --sequential js:test-babel js:test-jest
serverless-jest-plugin,JavaScript,jest
@djforth/jest-matchers,JavaScript,jest
@friends-library/dev,JavaScript,jest
lastejobb,JavaScript,jest
bit-bin,Typescript,jest
eth-saddle,Typescript,jest
js-word-count-for-haiku,JavaScript,jest
kara-module-tost,JavaScript,jest
sreemancomponents,JavaScript,jest
@wonkledge/httpcode,Typescript,jest --watchAll
styled-system-html,JavaScript,jest test.js
@backtrack/preset-jest,JavaScript,jest test.js
tradie-utils-jest,JavaScript,jest test.js
@lixpng-test/react-components,Typescript,jest test.js
@ecapp/scripts,Typescript,jest test.js
coya-core,Typescript,jest test.js
easy-oas3-parser,Typescript,yarn jest --coverage
@techcityventures/error-handler,JavaScript,jest
@take2/oclif-plugin-test,Typescript,jest
sequelize-redis,JavaScript,jest
@curve-technology/webapp-scripts,JavaScript,jest
jest-mock-express,JavaScript,jest
@karcass/container,Typescript,jest --config=jest.config.json
ghetto-monad,JavaScript,jest
vcc-ui,JavaScript,cd ../../  && jest --config=jest.config.js packages/vcc-ui
@pipe-dream/core,JavaScript,cross-env NODE_ENV=test jest
@thewhite/react-global-module,Typescript,cross-env NODE_ENV=test jest
@vant/cli,Typescript,cross-env NODE_ENV=test jest
@sprucelabs/test,Typescript,jest
@riil/gramcore,JavaScript,jest
@mand-mobile/scroller,JavaScript,jest
@commitsoftware/dev,JavaScript,jest
@nestjs/azure-func-http,Typescript,jest -w 1 --no-cache --config jest.json
mastarm,JavaScript,yarn run lint && yarn run flow && yarn run jest
@deepvision/test-kit-jest,JavaScript,jest
@events/subscriber,JavaScript,jest
@serverless-stack/resources,Typescript,jest
@spwashi/language,JavaScript,jest
editoria-data-model,JavaScript,jest --detectOpenHandles
nova-react-bridge,JavaScript,jest ./src
@aztec/note-access,JavaScript,jest
neatui,JavaScript,jest
ampsalesfunnels-mailgen,JavaScript,jest --coverage
@chantelle/config,JavaScript,jest --env=jsdom
@bingsjs/op-jest,JavaScript,jest --env=jsdom
mdb-logging,JavaScript,jest __int_tests__ --coverage
@talend/scripts-config-jest,JavaScript,jest __int_tests__ --coverage
kcd-scripts,JavaScript,jest __int_tests__ --coverage
hltc-webapi-client-shared-components,Typescript,jest __int_tests__ --coverage
ijest,JavaScript,jest
simple-time-mj,JavaScript,jest
tm-timestamp,JavaScript,jest --watchAll --verbose --env=node
@trigen/scripts-plugin-jest,JavaScript,jest --watchAll --verbose --env=node
@dynrl/create-react-comp-scripts,JavaScript,jest --watchAll --verbose --env=node
@luqin/gram-core,JavaScript,jest --watchAll --verbose --env=node
@spotify/web-scripts,JavaScript,jest --watchAll --verbose --env=node
@haechi-labs/henesis-wallet-core,Typescript,jest
@eui/tools,JavaScript,jest
@liquid-labs/catalyst-scripts,JavaScript,jest
wodax-umi-test,JavaScript,jest
@spwashi/spw,Typescript,jest ./src
@contrast/test-bench-utils,Typescript,jest --coverage
react-stone,JavaScript,jest --coverage
@brudi-toolbox/node-dev,JavaScript,jest --coverage
@sinos/core,Typescript,jest --coverage
@dragonzap/heml-styles,Typescript,jest --coverage
nlp-with-actions,JavaScript,jest
ebs-react-base,Typescript,jest
storage-manager-js,JavaScript,jest
ego-token-middleware,JavaScript,jest
@jsrock/core_dep,JavaScript,jest
@wx-fc/jest-config,JavaScript,jest
@defualt/dev_env,JavaScript,jest
@angelsdice/react-scripts,JavaScript,jest
@excitare/cli-command-test,JavaScript,jest
@komino/k8-core-mvc,JavaScript,jest
electrode-archetype-opt-jest,JavaScript,jest
kiwi-bundle,JavaScript,jest
raw-transaction-hex-decoder,JavaScript,jest -t
tm-utils,JavaScript,jest --watchAll --verbose --env=node
@rexlabs/plz-cli,JavaScript,jest --watchAll --verbose --env=node
@modern-js/testing,Typescript,jest --watchAll --verbose --env=node
@teambit/jest,JavaScript,jest --watchAll --verbose --env=node
react-scripts-rewired,Typescript,jest --watchAll --verbose --env=node
@romger/react-modal-dialog,Typescript,jest --watchAll --verbose --env=node
@dendronhq/aws-constants,Typescript,jest
@take2/oclif-plugin-primitives,Typescript,jest
react-scripts-motive-editor,Typescript,jest
@attraqt/http-client-node,Typescript,jest
crypto-crawler,Typescript,jest
ethereum-easy,JavaScript,jest
zimoykin-paginate,Typescript,jest --no-cache --config jest.config.json
zimoykin-validate,Typescript,jest --no-cache --config jest.config.json
jest-allure-reporter,JavaScript,jest-allure-reporter
@portable-profiles/auth,JavaScript,jest --coverage
lzb-scrollto,JavaScript,jest src/index.test.js
hive-faucet-eth,JavaScript,jest --maxWorkers=1 --forceExit
@enmove/with-jest,JavaScript,jest --maxWorkers=1 --forceExit
angular-playground,Typescript,jest
@daostack/subgraph-experimental,Typescript,npm run deploy && jest --runInBand --forceExit
@quarks/voyager-sdk-nodejs,JavaScript,npm run deploy && jest --runInBand --forceExit
@skyscanner/backpack-react-scripts,Typescript,npm run deploy && jest --runInBand --forceExit
@carbon/cli-plugin-jest,JavaScript,npm run deploy && jest --runInBand --forceExit
que-proxyable,JavaScript,jest
gatsby-remark-embedded-codesandbox,JavaScript,jest
@shopify/loom-plugin-jest,Typescript,jest
@chantey/ecs,Typescript,jest
@mara/x,Typescript,jest
@jupyterlab/testutils,Typescript,jest
valida-js,JavaScript,jest
@carioca/utils,JavaScript,jest
@romger/react-global-module,Typescript,jest
@directsp/client-js,Typescript,jest
behavior-state,Typescript,jest
esnext-scripts,JavaScript,jest
@attraqt/http-client-browser,Typescript,jest
matrix-header-react,Typescript,jest
@medlinker/scripts,Typescript,jest
flex-plugin-test,Typescript,cd ../.. && jest packages/flex-plugin-test --color
@chantey/services,Typescript,cd ../.. && jest packages/flex-plugin-test --color
cantara,Typescript,cd ../.. && jest packages/flex-plugin-test --color
react-web-component-react-scripts,JavaScript,cd ../.. && jest packages/flex-plugin-test --color
@berun/runner-jest,Typescript,cd ../.. && jest packages/flex-plugin-test --color
@builtbypixel/nucleus-core,JavaScript,cd ../.. && jest packages/flex-plugin-test --color
testmybot,JavaScript,cd ../.. && jest packages/flex-plugin-test --color
mutants-devtools,JavaScript,cd ../.. && jest packages/flex-plugin-test --color
kambi-widget-core-library,JavaScript,cd ../.. && jest packages/flex-plugin-test --color
@rockinblocks/rockinblocks,Typescript,jest
@digest/jest,Typescript,jest
seus-scripts,JavaScript,jest
@fromjs/core,Typescript,jest
tscomp,JavaScript,jest
@deboxsoft/devel-core,JavaScript,jest
ldx-home-plate,Typescript,jest --testPathIgnorePatterns /cypress/* --watch
centeridentity,JavaScript,jest --detectOpenHandles
@calimoto-gmbh/calimoto-react-scripts,JavaScript,jest --detectOpenHandles
@redshift/core,Typescript,jest
@epaypool/eslint-config-base,JavaScript,jest
@otools/jest-preset-otool,JavaScript,jest
@coderesque/task-ts-test,Typescript,jest
energetic-headlight,JavaScript,jest
create-plesk-app,JavaScript,jest
sku,Typescript,SKU_TELEMETRY=false SKU_DISABLE_CACHE=true OPEN_TAB=false jest --verbose --detectOpenHandles --runInBand
devtools-utils,JavaScript,jest
@pillarwallet/plr-auth-sdk,JavaScript,jest
@a2r/telemetry,Typescript,jest
@polkadot/dev,Typescript,jest
@captalys-platform/scripts,JavaScript,jest
@backstage/cli,JavaScript,jest
@techcityventures/extract,JavaScript,jest
@botmock/client,Typescript,jest
markdown-it-alert,JavaScript,npm run build && jest --verbose
tsdx-esm,JavaScript,npm run build && jest --verbose
@mand-mobile/components,JavaScript,npm run build && jest --verbose
rluy,JavaScript,npm run build && jest --verbose
fz-react-cli,JavaScript,npm run build && jest --verbose
words-to-num,Typescript,jest
wmt-encryption,Typescript,jest
@computerrock/toolchain-react-app,JavaScript,jest
@plugnet/binary-encoding-utilities,JavaScript,jest
@m-fe/jest-config,JavaScript,jest
apollo-server-scripts,JavaScript,jest
valid-url-utf8,JavaScript,jest
trebuchet-vu,JavaScript,jest
@billogram/task-runner,Typescript,jest
nw-react-scripts,Typescript,jest
clog-proto,Typescript,jest
validate-email-password,JavaScript,jest src/*.js
@area17/a17-helpers,JavaScript,jest --watchAll
jvalidation,JavaScript,jest
@factorial/stack-javascript,JavaScript,jest
@sepalang/testpad,JavaScript,jest
spire-plugin-jest,JavaScript,jest
auth0-toolkit,JavaScript,jest
snips-toolkit-cli,Typescript,jest
prettier-vue,JavaScript,prettier-vue
sen-test,JavaScript,prettier-vue
leaf-scripts,Typescript,prettier-vue
codegen-handlebars-templates-scripts,JavaScript,prettier-vue
morsing-http,JavaScript,jest
@fastry/serve,Typescript,jest
react-tools-collection,JavaScript,jest
quervana,JavaScript,jest
@hexly/dbo,JavaScript,jest
@djforth/stubs-spy-manager-jest,JavaScript,jest --coverage  --config jest.config.json
ale-webpack,JavaScript,jest --coverage  --config jest.config.json
@telsystems/build-configs,Typescript,jest --passWithNoTests
cc-react-scripts,JavaScript,jest --passWithNoTests
@billogram/task-ts-test,JavaScript,jest --passWithNoTests
ch3ck,JavaScript,jest
boringbits,JavaScript,jest
@admin-tool-generator/ui,Typescript,jest
hyperwire,JavaScript,jest
ts-component-library,Typescript,jest
reformogen,JavaScript,jest
fawkes-server,JavaScript,jest
@novitus-ncloud/number-format,Typescript,jest
@cleargdpr/js-sdk,JavaScript,jest
moria-react-scripts,JavaScript,jest
@open-web3/dev-config,JavaScript,jest
query-template,JavaScript,node_modules//bin/jest test
@oudyworks/entity,JavaScript,node_modules//bin/jest test
hive-vu-eth,JavaScript,jest --forceExit
trebuchet-bootstrap,JavaScript,jest
alanzhao-react-scripts,Typescript,jest
@billogram/jest-config-node,JavaScript,jest
solidity-helpers,JavaScript,jest
sw-class-sanitizer,Typescript,jest
@enmove/with-jest-enzyme,JavaScript,jest
@enjine/core,JavaScript,jest
zimoykin-auth-middleware,Typescript,jest --no-cache --config jest.config.json
react-mosaic-utils,JavaScript,jest .*\\.spec\\.js
gpvwc-components,JavaScript,jest
@corex/jest,JavaScript,jest
@eventbrite/brite-core,JavaScript,jest
bnq-sys-react-component,JavaScript,jest
@blaze-cms/tools,JavaScript,jest
https-provider,JavaScript,jest
@vorld/base-service,Typescript,jest
@satel/steel-sync,JavaScript,jest
arui-scripts,Typescript,jest
@computerrock/react-scripts,JavaScript,jest
punica-ts,JavaScript,jest
gio_lim015-md-links,JavaScript,jest --coverage
@mega-apps/cli,JavaScript,jest --coverage
hermod-toolkit-cli,Typescript,jest --coverage
@eot/eot-shared,JavaScript,jest --coverage
library-cli,JavaScript,jest --coverage
google-place-search,Typescript,jest
vee-eight,JavaScript,jest
@toba/test,Typescript,npm run buildJest && jest --coverage
jest-dashboard,JavaScript,jest jest-dashboard/src/ --config jest.config.json
tm-redis,JavaScript,jest --watchAll --verbose --env=node
antd-type-demo-xiaohong,Typescript,jest --watchAll --verbose --env=node
bl-service-check,JavaScript,jest --coverage
@antonioq/slate-sync,JavaScript,jest --coverage
zmi-nerd,Typescript,jest --coverage
jingchunbo-test-demo,Typescript,jest --coverage
@spec/template-product,JavaScript,jest --coverage
@frontastic/catwalk,Typescript,jest --coverage
@tilework/mosaic-cra-scripts,JavaScript,jest --coverage
skuba,Typescript,jest --coverage
@dxc-technology/halstack-angular,Typescript,jest --coverage
@thisisagile/easy-test,Typescript,yarn g:jest --coverage
wonder-bs-jest,JavaScript,npm run build && jest
@procore/core-scripts,JavaScript,npm run build && jest
cook-cli,JavaScript,jest --config ./jest/jest.config.js
picompiler,JavaScript,jest
reack-fack,Typescript,jest
@jafar/js-kit,JavaScript,jest
almondtree,JavaScript,jest
i-antd,Typescript,jest
@humblebee/humblebee-node,JavaScript,yarn build && jest
@tsaldanha/my-design-system-form,JavaScript,yarn build && jest
just-stack-single-lib,JavaScript,yarn build && jest
@pureui/cli,Typescript,yarn build && jest
@spec-validator/qa,JavaScript,yarn build && jest
ydr-nest-common,Typescript,jest
@sandvikcode/web-tooling,JavaScript,jest
zhangzheng-act-test,JavaScript,jest
@cisdi/jest-preset-cisdi,JavaScript,jest
@startrco/slate-sync,JavaScript,jest
@amilajack/skill-jest,JavaScript,jest
@taocli/ts,JavaScript,jest
@portable-profiles/persistence,JavaScript,jest --coverage
@wpshopify/api,JavaScript,jest --coverage
kfego-token-middleware,JavaScript,jest
vc-tools,JavaScript,jest
jest-jenkins-reporter,JavaScript,jest -u --color
uxi-cli,JavaScript,jest --config node_modules/uxi-cli/jest.config.js
cra-template-typescript-redux-react,JavaScript,jest --config node_modules/uxi-cli/jest.config.js
@aboutbeauties/imagetransfer,JavaScript,jest --config node_modules/uxi-cli/jest.config.js
nino-cli,Typescript,npm run pre-test && tsc && jest --config ./src/jest/jest.js --no-cache --testPathPattern 'src'
moltres-tools,JavaScript,npm run pre-test && tsc && jest --config ./src/jest/jest.js --no-cache --testPathPattern 'src'
ant-virtual-table,JavaScript,jest
@inkofpixel/liquid-loader,JavaScript,jest
@towercg2/server,Typescript,tslint --project . && jest
react-simple-verify,Typescript,tslint --project . && jest
homo-digitalis-curricula-service,JavaScript,jest
@misk/test,JavaScript,jest
@coderesque/jest-config-node,JavaScript,jest
koapi,JavaScript,export NODE_ENV=test && npm run knex migrate:rollback && npm run knex migrate:latest && npm run knex seed:run && jest
@bc-digital/react-scripts,Typescript,export NODE_ENV=test && npm run knex migrate:rollback && npm run knex migrate:latest && npm run knex seed:run && jest
wulv-utils-cli,JavaScript,export NODE_ENV=test && npm run knex migrate:rollback && npm run knex migrate:latest && npm run knex seed:run && jest
@gerhobbelt/babel-helper-transform-fixture-test-runner,JavaScript,export NODE_ENV=test && npm run knex migrate:rollback && npm run knex migrate:latest && npm run knex seed:run && jest
config-pool,JavaScript,jest
@botmock/utils,Typescript,jest
feathers-airtable,JavaScript,jest --coverage
@gpsgate/jest-config,JavaScript,jest --coverage
@ackee/react-scripts,Typescript,jest --coverage
@merlion/ape-cmd-builtin,JavaScript,jest --coverage
@bity/orianne,Typescript,jest
@coppel/microservices,Typescript,jest
@terun/cli,Typescript,jest --runInBand
fx43,Typescript,yarn run copy && jest
cater-jest,JavaScript,jest
universally-dev,JavaScript,jest
@calltheguys/ctg-slate-sync,JavaScript,jest
ayoub.react-runner,JavaScript,jest
